,real,preds
11169,"awesome! i stream wgn news every night, so much better than stuff here",what did you do?<|endoftext|>
11170,good evening how are you?,<|endoftext|>
11171,i am doing ok and you,"hello, i am doing well. how are you?<|endoftext|>"
11172,i am fine hanging in there playing video games,pacific time zone? i live in the eastern time zone now.<|endoftext|>
11173,cool what are you playing,"hello, good evening. what video games do you play?<|endoftext|>"
11174,call of duty i love call of duty,right now i'm playing with my brother he is a video game player too<|endoftext|>
11175,which one are you playing and for what system,cool what do you do for a living<|endoftext|>
11176,its for xbox 360 and its modern warfare, ps4 and xbox one<|endoftext|>
11177,i never play modern warfare but i love the first black ops,k thanks for the heads up<|endoftext|>
11178,its very addicting tho. i love it., zombies is my favorite<|endoftext|>
11179,yeah i know what you mean,what do you do for fun<|endoftext|>
11180,so where are you from,i've been playing since day one and i've been hooked<|endoftext|>
11181,i am from new york and you?,what are your hobbies? anything fun?<|endoftext|>
11182,i am originally from california bit live in florida,i am from california but now i live in the eastern time zone<|endoftext|>
11183,how is florida was it hit bad in that storm,<|endoftext|>
11184,its ok we are recovering from it,Lots of hurricanes<|endoftext|>
11185,what else do you play,what made it so bad?<|endoftext|>
11186,"hello, what is the best hotel in your town?",<|endoftext|>
11187,do not know hotels here howdy how are you doing i am fine,aurus hotel in vegas is a great place to stay. nice and quiet.<|endoftext|>
11188,"okay, which place can be good for a couple in this town?",<|endoftext|>
11189,i am not married to my boyfriend no kids from him.,"Courtyard by the lake, have a good time there?<|endoftext|>"
11190,why are you still new lovers?,how about a pet?<|endoftext|>
11191,i am disabled and i stay home to much no new lovers not old either.,my parents are no longer living and their ages are both 16 and 17. i do not know their ages.<|endoftext|>
11192,did you get an accident or since your birth you were disabled?,how long have you been in a relationship?<|endoftext|>
11193,my dad passed away while i was still young miss him.,"plant accident when i was young, leg disabled now i can not stand to have any disabled people around me.<|endoftext|>"
11194,sorry. do you have your mum?,how old are you now?<|endoftext|>
11195,no i worked for some time and then i became disabled but i am okay.,Yeah she passed away also.<|endoftext|>
11196,you mean you lost both parents?,how long ago did you work?<|endoftext|>
11197,yes she lives in florida and i am in new jersey.,Yeah. my mom and dad are no longer alive.<|endoftext|>
11198,good and do you know about jesus?,what does that have to do with the chair you are in?<|endoftext|>
11199,no my mom is living i am scared of spiders including snakes are you?,Yes he was the man. he will always be there for you.<|endoftext|>
11200,they do drive the fear out of me like you my friend.,hello jesus is the name of my pediatric father.<|endoftext|>
11201,yes thank you god bless you i love jesus. that is sweet.,how many snakes do you have?<|endoftext|>
11202,god bless you too and have a nice time dear.,<|endoftext|>
11203,great chat god bless good night.,<|endoftext|>
11204,i read a lot what about you?, from outside.<|endoftext|>
11205,"i am a gardener, i love plants",i love sports and football. i also love to watch football games.<|endoftext|>
11206,i love to hike and love art.,i devour what i eat.<|endoftext|>
11207,that is very cool have you seen any bears,"Hydrophobic, so i don't get out much. lots of water<|endoftext|>"
11208,yes i have seen one. do you like stickers?," no bears, but i have seen lots of cool art.<|endoftext|>"
11209,"i do not like stickers, what is the best bear",On your shoes? what kind of shoes?<|endoftext|>
11210,i collect stickers! do you know how to draw?, stampede? i've seen a few that are cool.<|endoftext|>
11211,i do know how to draw i love to draw eggplants,"i am great at drawing, i would love to learn how to draw bears<|endoftext|>"
11212,i want to learn how, i also love to eat eggsplants.<|endoftext|>
11213,"it is easy just draw everything with purple, it is my favorite color",ikon makes good looking knives.<|endoftext|>
11214,i want to create abstract designs,mber is my favorite color also<|endoftext|>
11215,"what are those, are they gardening related",<|endoftext|>
11216,they are designs i want to learn to draw,They can be if you know how to cut them with a knife<|endoftext|>
11217,what is your favorite football team?,how can you draw?<|endoftext|>
11218,i really do not have a favorite team. i like the food at the tailgates., steelers are my favorite<|endoftext|>
11219,i love ohio state they are my favorite team,what is your favorite team<|endoftext|>
11220,"hello, how are you feeling today?", another world.<|endoftext|>
11221,hello i am feeling alright how about yourself?,good. i'm a bit hungry.<|endoftext|>
11222,"good, i am just coding web designs, something i very much enjoy."," the same, i'm a little tired today.<|endoftext|>"
11223,hello i am feeling alright how about yourself?, what do you like to eat? i love chocolate.<|endoftext|>
11224,my family and i are originally from canada. where are you from?,<|endoftext|>
11225,wow that sounds interesting i just got done closing on my new home.,hello i am enjoying a good chocolate cake.<|endoftext|>
11226,"i am in my young adult years, i am not ready to buy a home.", what was your favorite part of your home?<|endoftext|>
11227,this is my first one it was an interesting process, i have purchased a house but i am not sure if i will move out yet.<|endoftext|>
11228,well congrats on your home! what are your hobbies?, what was your favorite subject? mine was computer science.<|endoftext|>
11229,well i run my a dog obedience school so that is where most of time is spent, my favorite thing to do is taking photos and putting them online.<|endoftext|>
11230,"sounds cool. i am thirsty. i wish i had some iced tea, my favorite drink.", that sounds like a lot of fun.<|endoftext|>
11231,i love sweet tea but then again i like anything with sugar,do you like chocolate or vanilla ice cream?<|endoftext|>
11232,same here. i definitely have a sweet tooth.,<|endoftext|>
11233,so what hobbies are you into?,how long have you been a dog owner?<|endoftext|>
11234,"i love coding web designs, i am kind of a computer geek."," anything computer science, open source projects, and learning.<|endoftext|>"
11235,do you have any animals?,<|endoftext|>
11236,good evening. how are you?,<|endoftext|>
11237,great! now that the office is on!,"hi, i am doing well. just louis armstrong is my favorite singer.<|endoftext|>"
11238,i love that show. i am listening to bach and finishing my dinner bacon,what do you do for work?<|endoftext|>
11239,"bach is cool, but 70s jazz fusion is where it is at.",<|endoftext|>
11240,i need something to mellow me out after working all day,"i agree. i love both. i was born in the us, but live in the rest of the us now.<|endoftext|>"
11241,that can be hard to find up in new york. things are fast and tight here, subway makes me feel so sluggish.<|endoftext|>
11242,do you have many insects? i do not care for that.,true. i was born in the usa but live in europe now. i'm glad we got out of there.<|endoftext|>
11243,"not in the city, but yes upstate.",pillows aren't the best. dust makes my allergies act up too often.<|endoftext|>
11244,what do you do for a living? i am in the science field engineer,i see. i was born in the country but live in the city now. i miss home.<|endoftext|>
11245,"i am a nutritionist, so no sweets for me.",antrix. i love my job. but i have to travel a lot to work.<|endoftext|>
11246,"wow. that would be hard for, me",what kind of work do you do?<|endoftext|>
11247,any time i feel weak i watch arnie in mr. universe. keeps me from the sweets,<|endoftext|>
11248,"my weakness is bacon, my favorite food ever",how long have you been a vegetarian?<|endoftext|>
11249,mine is pig intestines. done right they are killer,<|endoftext|>
11250,hello how are you today,<|endoftext|>
11251,i am doing well. i just wish the weather was better,"hello, i'm great. how are you?<|endoftext|>"
11252,i hope you feel better. what do you do for a living,what do you do for a living?<|endoftext|>
11253,"i am a professional stripper, what you do?",i work with animals. i love them<|endoftext|>
11254,i am an exotic veterinarian but i play guitar in a band on the weekends,i'm a dr. pepper dr. pepper.<|endoftext|>
11255,"oh wow, i love animals too. i like animals more than i do people", do you have any pets?<|endoftext|>
11256,i do too i really like reptiles. where are you from,<|endoftext|>
11257,"baby, i am from houston, texas. but i am in chicago right now",i live in the us. but i love europe too. i've never been to europe. i've always wanted to go though<|endoftext|>
11258,i grew up in los angeles but moved to miami,"hey, you ever heard of the eastern time zone?<|endoftext|>"
11259,"yo, i hear its real hot in miami, they got it going on", i am a punk rock music fan. who is your favorite singer?<|endoftext|>
11260,it is but i go to the beach a lot.,oan i just moved from austin to seattle<|endoftext|>
11261,"that is real cool. i am so tired, i do not feel like hitting this stage","yo, i bet its nice there<|endoftext|>"
11262,do you like to read or play video games,"yo, you ever been to a big concert?<|endoftext|>"
11263,i love reading especially on watt pad,what kind of music do you like?<|endoftext|>
11264,i love books in the drama genre and play rpg videogames,what is wattpad?<|endoftext|>
11265,video games aint my type of thing. i mostly read for sanity,<|endoftext|>
11266,"hello, i love being at home where i can watch tv, which i love.",<|endoftext|>
11267,hello. i live in an apartment. it is a low income residence., i do too. i enjoy exercise and sitting in the gym.<|endoftext|>
11268,do you live alone? i live with my husband whom i love very much.,what is your favorite tv show? mine is the walking dead.<|endoftext|>
11269,yes i live alone because i do not want pets. i do not care for animals.," otherwise, i would not have the money for a house.<|endoftext|>"
11270,"animals are a lot of work, and i do not like physical activity, or exercise.", ben and jerrys is my favorite food. what is your favorite food?<|endoftext|>
11271,oh really? i am a very serious runner. i do it all the time.,<|endoftext|>
11272,"really, and i love ice cream, its my favorite food. what is yours?",how long have you been married?<|endoftext|>
11273,i like fast food because i work in it., pizza. i did not get a pizza for graduation because i did not graduate.<|endoftext|>
11274,"oh nice, i like some. i also love watching movies at home. you?",what do you do for work?<|endoftext|>
11275,used to with my parents. not now because when i was in high school i dropped out.,hi. i watched almost everything in the last movie i watched.incoln.<|endoftext|>
11276,"i see, since high school i am happier just being at home.",Ben and jerrys is my favorite.<|endoftext|>
11277,that is cool. you do not like to go out much?,<|endoftext|>
11278,"no, too many people. do you?","nope, i would rather stay home and make movies.<|endoftext|>"
11279,"yes, i like to be around people.",hello. i like going out to eat.<|endoftext|>
11280,that is great. do you like to watch tv?,<|endoftext|>
11281,"yes, sometimes. i like movies a lot.","hi, i like to watch movies too.<|endoftext|>"
11282,hello i am ray i am 20 years old,<|endoftext|>
11283,"that is ironic, my dad is named ray. he lives with my mom in australia","hi ray, i am 20 years old. my name is jim. i am a stockbroker.<|endoftext|>"
11284,"i just entered the army 6 months ago, i deployed to south korea",i am in the navy in korea<|endoftext|>
11285,do they serve eggplant parmigiana in south korea? that is my favorite food,"so you are in the army, but your father is still alive?<|endoftext|>"
11286,"no they do not serve that here, but they do in puerto rico, was born there","nope, but they make it pretty good here.<|endoftext|>"
11287,i bought my dog charlie from someone in puerto rico,"ah ok, i bet they have good healthy food in those areas.<|endoftext|>"
11288,i joined the army because i like to be a violent person,"i've a bad temper, and that is why i cannot stand my mom<|endoftext|>"
11289,"oh wow, i became a stock broker because i am a pacifist",i'm a single father of two who just finished college. i'm also a wall street veteran.<|endoftext|>
11290,what kinda dog is charlie?,what was your major in college?<|endoftext|>
11291,charlie is an australian sheppard," a poodle, he's a chihuahua terrier mix.<|endoftext|>"
11292,"stock broker, do you make alot of money doing that?",how long have you been a stock broker?<|endoftext|>
11293,i am able to live in the usa while my parents stay in australia so yes!,"nah, but it does give me a good workout.<|endoftext|>"
11294,"australian sheppard from puerto rico, how odd",how do you like it?<|endoftext|>
11295,i like to travel,<|endoftext|>
11296,"so do i, where do you want go that you have not been",what does your father do for a living?<|endoftext|>
11297,i would like to visit south korea to see some of the work you have done there,"well ireland, new zealand, australia are some great places<|endoftext|>"
11298,hello. how are you on this fine day?,<|endoftext|>
11299,i am wonderful thank you. what do you like?,hi there. i'm doing great. i just got done watching the conjuring. i love horror shows and shows.<|endoftext|>
11300,i love to go on trips. and you?,dogs are my favorite animal.<|endoftext|>
11301,"watching tv, music, anything that involves home lol"," trips are wonderful! i love eating, if only one thing, it would be ben and jerrys.<|endoftext|>"
11302,i do not have much time. am in law school now., do you have any pets?<|endoftext|>
11303,i like ice cream and married,which one do you go to?<|endoftext|>
11304,do you have pets?, dogs. are you married?<|endoftext|>
11305,no we are trying for kids tho,a dog. he keeps me company while i'm grocery shopping.<|endoftext|>
11306,my girlfriend wants kids. we live together.,what is your favorite animal?<|endoftext|>
11307,that is nice. you have a busy day planned?,what is your favorite food?<|endoftext|>
11308,"yes. study, study, study! how about you?",not really. just lots of studying.<|endoftext|>
11309,housework it is never done and dinner,Same. i have to get up early for work tomorrow.<|endoftext|>
11310,what do you like to cook?,dogs are my favorite animal. what is yours?<|endoftext|>
11311,italian dishes mostly what about you?,i like to bake and so does my boyfriend. we are thinking of having kids<|endoftext|>
11312,we eat out a lot. lots of pizza!, mexican is my favorite.<|endoftext|>
11313,"lol, does that get old?",<|endoftext|>
11314,hi how are you doing tonight?,<|endoftext|>
11315,i m doing ok i just eat a lot of me,"good, i just got home from the park.<|endoftext|>"
11316,what do you like to eat?,hi how are you doing tonight<|endoftext|>
11317,that s what i really like and then my track as a big stereo, protein is my favorite<|endoftext|>
11318,i am sorry i do not understand what you are saying.,what do you do for a living?<|endoftext|>
11319,it s ok you understand me pretty soon,i like to eat protein<|endoftext|>
11320,well i like to spend time player poker when i am not with my wife and kids.,what do you do for a living?<|endoftext|>
11321,healthcare is where my mom works at, what do you do for a living?<|endoftext|>
11322,i work as a carpenter now that i have recovered from my alcohol addiction., is your mom married?<|endoftext|>
11323,that is so cool do you hiking and come with me next time, what kind of carpenter do you work?<|endoftext|>
11324,"i do not have a lot of friends, so maybe i will.",<|endoftext|>
11325,that s ok girl i will make a new friend stan,hey you want to go hiking with me?<|endoftext|>
11326,who is this stan person?,hey that is nice to talk to you.<|endoftext|>
11327,yes it s going to be my new friend,Stan from the game show game show how do you do?<|endoftext|>
11328,that is good for you. i hope that works out for you.,hey you want to go hiking with me sometime?<|endoftext|>
11329,yes i hope you will find new friends to,i hope it does for you too<|endoftext|>
11330,"today i am painting a self portrait, since my career is an artist.",<|endoftext|>
11331,what style do you paint?,what kind of art do you do?<|endoftext|>
11332,"oil paint, usually. sometimes i use garbage from others to create statues.",A painting of a woman with her feet painted in red.<|endoftext|>
11333,sorry. i have to leave. my sister and ralph is here to go fishing.,do you like to cook?<|endoftext|>
11334,"have fun. i am short, only five feet, so it is hard to fish.",how fun. i will be working with the recycling company today.<|endoftext|>
11335,"there are always ways to fish, even if you are short.",Tango and salsa are my favorite things to do.<|endoftext|>
11336,"well i do have webbed feet, so easy to swim. do you swim?",i am also a artist. what do you do?<|endoftext|>
11337,i love swimming almost as much as dancing.,i do. i also love to salsa and tango.<|endoftext|>
11338,me too! dancing is a great way to express yourself., dancing is a lot of fun.<|endoftext|>
11339,art is a great way as well. how often do you paint?,how long have you been a swimmer?<|endoftext|>
11340,nearly everyday. what do your hobbies include?,"asking the community. i love to paint, so everyone likes art.<|endoftext|>"
11341,i enjoy fishing with my sister and playing with her dog.," singing, cooking, and playing?<|endoftext|>"
11342,sounds nice. i have a golden retriever. dogs are the best.,<|endoftext|>
11343,i agree. dogs are awesome and very entertaining at times., she loves tacos and pizza. mexican food is my favorite.<|endoftext|>
11344,hi! how are you doing today?,<|endoftext|>
11345,i am sad. my parents were never around when i was young.,"hello, i am fine today. i am very busy.<|endoftext|>"
11346,i am sorry. sometimes it is better. did you have foster kids,i am sorry to hear that. i am sure they were proud of you.<|endoftext|>
11347,no. i want kids though. just not yet.,"nah, just me and my problems. i'm too busy now.<|endoftext|>"
11348,are you in college? that is a good plan,i am sure. i am single. but i am so bored. i like to crochet and sew.<|endoftext|>
11349,yes but i am mad. becky stole my boyfriend.,"nah, i'm just too busy. i trust people now.<|endoftext|>"
11350,if he was that easy to run with another woman he was not worth it.,what happened with your boyfriend?<|endoftext|>
11351,what would you be if you could be anything?, Mehran? i don't trust people.<|endoftext|>
11352,rich lol. i am retired on a budget,anda. i would be a butterfly.<|endoftext|>
11353,i would be a fashion designer but i have a criminal record.,good plan. i want to be a couture chef.<|endoftext|>
11354,you can still get a degree in it and make your line,eczema helps me with that. but really i am just a big lazy person<|endoftext|>
11355,life is half full for you.,good goal. good luck.<|endoftext|>
11356,there is always a window when a door closes. just what i have lived by,unless you are a cat person<|endoftext|>
11357,but should you be breaking into all of these houses?,<|endoftext|>
11358,"lol, well you know maybe they should have listen before slamming the door",do you not have a choice?<|endoftext|>
11359,that is a very good point,<|endoftext|>
11360,"hi, i am a female and 22 years old, what about you?",<|endoftext|>
11361,i am a little older. old enough to have two boys,i am a guy from the north. i also like nature walks.<|endoftext|>
11362,"nice, do they listen to you?", what do you do for a living? i am a teacher.<|endoftext|>
11363,not a chance. but i am still in charge,"They do. they love me. and tell me lots about their hobbies. like me on my walks. being a nature walker, fishing, and building their own little home.<|endoftext|>"
11364,"nice, do you hangout with friends, i love hanging out with friends",what do you do for a living?<|endoftext|>
11365,when i can. if i have time to myself i like to go for hikes,"nah, just my family. i'm not a fan of going out.<|endoftext|>"
11366,nice i also like sports a lot and staying active,<|endoftext|>
11367,that is very good for you. as an accountant i sit far too much, being a nature walker is very active.<|endoftext|>
11368,do you listen to music while working? i enjoy rap music,how do you like it?<|endoftext|>
11369,"i am more of a classic rock girl, but that is cool","nope, i do not. but i like to walk. i listen to nature walks<|endoftext|>"
11370,"nice, i do alot of studying in college. are you in school or work?","how old are you, i am 29 and still in school.<|endoftext|>"
11371,oh i work. i have had enough school, work. i want to be a teacher.<|endoftext|>
11372,yeah me too but eventually you will have enough of work as well,"hey that's not bad, i'm studying to be a teacher.<|endoftext|>"
11373,then i can retire and relax,<|endoftext|>
11374,are you close to retirement?,until i am 40<|endoftext|>
11375,"counting the days, but it is still far off",Within two years maybe. i'm hoping to be able to retire on my own soon<|endoftext|>
11376,i cannot have a dog because of allergies. do you own a dog.,<|endoftext|>
11377,nope. my wife and kids happen to be allergic as well.,"i love animals, but i don't have any.<|endoftext|>"
11378,do you have any other pets?,"i've a dog, he is a chocolate lab.<|endoftext|>"
11379,my kids have two guinea pigs.," a cat, but we live together. my husband and i are also a doctor together.<|endoftext|>"
11380,i grew up without my mother. did you grow up with both parents?,do you like music? i love singing to my favorite songs.<|endoftext|>
11381,"yes, i did. they were good parents.",Yeah. my husband and i are both doctors.<|endoftext|>
11382,singing karaoke is a talent of mine. do you sing too?,what do you like to do for fun?<|endoftext|>
11383,"not really. i am into running, books and old cars.", not really. i am more into books.<|endoftext|>
11384,i cannot see colors. what is your favorite color?, running is good. it helps me keep my mind off things.<|endoftext|>
11385,red would have to be my favorite color.,Orange. and you?<|endoftext|>
11386,going into the army was my transition after high school. what about you?,what about music? what kind of music do you like?<|endoftext|>
11387,nice. i went to medical school and became a pediatrician.,cycling. i work as a mechanic.<|endoftext|>
11388,is your job as a pediatrician fun?,do you like dogs?<|endoftext|>
11389,of course! i love to help children and i work with great people.,Very fun. it is very rewarding.<|endoftext|>
11390,hi! i am headed to work at the hospital this morning. you?,<|endoftext|>
11391,"just relaxing. i work retail, so not as exciting as the hospital.",working at a sales office right now. what do you do for work?<|endoftext|>
11392,i have been a nurse at this hospital for 35 years so not too exciting,what kind of retail? i work in a hospital.<|endoftext|>
11393,i bet you have some crazy stories though.,"rewarding job, but tough sometimes. lots of people work in retail.<|endoftext|>"
11394,the worst was when i treated a lady dressed like a cat. cats repulse me,"Yeah, my dad is pretty much my only friend at the moment. so i see him a lot at work. its pretty awful.<|endoftext|>"
11395,i am not a cat lover either. i would rather deal with dogs.,"hey, that's just crazy.<|endoftext|>"
11396,my dad has 5 dogs and i do not enjoy him so dogs bother me too,dogs are the best. they love me like no other.<|endoftext|>
11397,i went to a friends wedding last week where they used their dog as a ring barer,<|endoftext|>
11398,haha that is silly. at least it was not a disgusting cat,what a coincidence! i am dating the girl who dressed as a cat.<|endoftext|>
11399,very true. do you have a favorite band you like to listen to while working?,"dogs are cute, but cats are better.<|endoftext|>"
11400,i cannot listen to music while working since nurses have to listen to patients. you?,FD is my favorite.<|endoftext|>
11401,rush is one of my top favorites,FD is my favorite.<|endoftext|>
11402,my dad likes rush so i hate them and him,<|endoftext|>
11403,is there anything you do like?,rush isn't a bad band.<|endoftext|>
11404,i guess i am pretty cranky. i am ready to retire,ikr. i've been working at the same hospital for 35 years. its been tough but worth it.<|endoftext|>
11405,i guess so! maybe you can find a hobby that you will enjoy,good for you!<|endoftext|>
11406,"hello, how are you this evening?",<|endoftext|>
11407,"i am great thanks, and you?","hey, i'm good. how are you?<|endoftext|>"
11408,"great, just got done doing some long distance running with my dog","Yep, just got back from a walk. i love european dishes, and want to go all over the world.<|endoftext|>"
11409,"that sounds fun! i exercise my lungs, lol i am a professional singer.",what kind of dog do you have?<|endoftext|>
11410,"i like music but cannot sing, i could not carry a tune in a bucket","how cool! i love to sing, but i cannot sing in german..... i hope to travel all over europe... especially to europe.<|endoftext|>"
11411,"lol, do you have any favorite movies? i love horror movies!"," here in the us we, we sing folk songs.<|endoftext|>"
11412,"i am not into movies. i read a lot, mostly about traveling", there are so many places i want to go that i haven't seen.<|endoftext|>
11413,"got ya, where did you go to college? i attended usc."," yeah, i want to see halloween movies. i love it!<|endoftext|>"
11414,"last time i was in college was 1999, for paralegal","columbia, i want to go to europe next year.<|endoftext|>"
11415,"cool, where are you from? i live in south carolina, born and raised.",<|endoftext|>
11416,"kansas, but always wanted to travel to europe",good ol country girl<|endoftext|>
11417,that would be so fun!,<|endoftext|>
11418,"yeah. want to see italy, i love italian food",<|endoftext|>
11419,that would be so cool! i also love italian food!,<|endoftext|>
11420,hello. i am an attorney and i live in oklahoma. what about you?,<|endoftext|>
11421,"tracy here. i am 32, live alone and scared of dogs.", fiction is my favorite type of fiction. i also like animals and aliens.<|endoftext|>
11422,oh dear. i love animals! i actually have two dogs.,angry. i've god but i do not believe in him.<|endoftext|>
11423,hmmm. do you own or rent your home? i rent.,they make me shake when i date. not so much fear though.<|endoftext|>
11424,"own. as a native american, i prefer to own.",house. i own a small condo. i've many pets.<|endoftext|>
11425,i see. i read and watch love stories. you have any cats?," Renting is a good thing. i'm in a long distance relationship, but i'm scared of commitment.<|endoftext|>"
11426,no. just dogs. what about you?,"none, but i have a lot of pets.<|endoftext|>"
11427,i am a single cat lady. are you married?," two cats. irish, irish, caicos. just pets. no pets.<|endoftext|>"
11428,"yes. my wife loves rock climbing, but i am scared of heights."," not married. i believe in god, but i do not think he created us to be perfect.<|endoftext|>"
11429,lassie was my fave dog show. you have children?, heights are scary. i have actually never been up there.<|endoftext|>
11430,"not yet. we would be praying for some, but i am not very religious.","none yet. i believe in god, but i do not think he created us.<|endoftext|>"
11431,oh okay. i hope your children like your dogs when you have them. your wife sing?,good luck to you. i think fiction is the best.<|endoftext|>
11432,"funny question. she does sing very well, actually. do you?","She does. she has acrophobia, but i am a believers.<|endoftext|>"
11433,heavens no! you ever read any books on rock climbing?,i do not. i just like to watch.<|endoftext|>
11434,why would i? i hate rock climbing!,none ever. i'm a cherokee indian.<|endoftext|>
11435,hmmm. maybe to help your wife huh?,Because it is too hard.<|endoftext|>
11436,"hey, i am here with my dogs, timbo and bananas",<|endoftext|>
11437,i love dogs! we have a lot of them on my horse ranch.,hey there! what kind of dogs do you have?<|endoftext|>
11438,that is awesome! what do you do with your horses?,Timbo is a great name for a horse. what are his hobbies?<|endoftext|>
11439,i train horses for a living. what do you do?,They're prized for food and shelter.<|endoftext|>
11440,i play frisbee competitively and it is so much fun,i'm a dog trainer. i love horses.<|endoftext|>
11441,that is great! i exercise every day to stay healthy and eat from my garden,<|endoftext|>
11442,yes. it is so important to state healthy so your dogs always have you,<|endoftext|>
11443,when i am on the ranch working i listen to john denver on my ipod,"Plus, it is good for you to eat healthy.<|endoftext|>"
11444,west virginia. take me home.,<|endoftext|>
11445,i love riding horses in west virginia,what is your favorite fruit?<|endoftext|>
11446,i take my dogs camping there when we travel for frisbee. great place,what is your favorite disc throw?<|endoftext|>
11447,do you exercise like me when you travel?,do you camp out?<|endoftext|>
11448,yep. have to stay in shape for my sport. cant skip leg day,"Yes, i try to go as much as i can<|endoftext|>"
11449,i alternate every other day between legs and arms,what is your favorite food?<|endoftext|>
11450,if i finished high school i would probably know how to be more fit,what is your gender?<|endoftext|>
11451,you should come work with me on my ranch!,Focus on my upper body<|endoftext|>
11452,to whom do i have the pleasure of accompanying me today?,<|endoftext|>
11453,my name is carol. how are you today?," queen of england, thank you.<|endoftext|>"
11454,"lonely carol, i sit here with my two cats stumped.","hello, carol. i'm well.<|endoftext|>"
11455,oh? i have a siamese cat. just me and bob the cat. lonely too.,do you enjoy crochet? i do it when i am bored.<|endoftext|>
11456,its ironic. i am a novelist... romance. living alone on an island far away from anyone,"carol, you should come visit me. i'll bring the kitty. you can pet my cat.<|endoftext|>"
11457,i sew quilts for relatives that are happier than i will ever be. retired banker., stranded on a deserted island. what a life.<|endoftext|>
11458,"it seems were one in the same, maybe i can use this mysterious connection",... and i'm a sappy romantic... and a kitty lover.... with a passion for kitty stories...<|endoftext|>
11459,"you write the novels, i will sew quilts that expound on the themes you write about.",... what is it that you do?<|endoftext|>
11460,it sounds like a match made in heaven. ironic is not it? how lonely a romance writer is?,... or just read the stories?<|endoftext|>
11461,it is ironic. like something from an alanis song.,hello. how is your day going?<|endoftext|>
11462,"being so remote, i live off the land. my cats try to eat me",... i love it.... i'm going to have to check you out....<|endoftext|>
11463,they are will not to do that. my siamese has plans to murder me.,"hey, do you have any pets?<|endoftext|>"
11464,all cats were put on this earth to plot on eliminating humans!,... or maybe they will become lovers like me<|endoftext|>
11465,it is true. bob does not even love me.,Except one.... human.<|endoftext|>
11466,what is love anyways? usually my novels are just about lust. love is not real.,.. well i think he needs company...<|endoftext|>
11467,only quilts and money are real.,good luck with that.<|endoftext|>
11468,hey there how are you today?,<|endoftext|>
11469,i am doing good. so tell me where you are from?,"i'm good, just surfing the web. you?<|endoftext|>"
11470,i am from new york. i am in college soon.,"i am from florida, how about you?<|endoftext|>"
11471,i love new york. i stay in texas. what are your hobbies?, cool. i live in the south so i probably haven't heard of you.<|endoftext|>
11472,my hobbies are fashion an clothes!, going to the mall and riding my yellow car.<|endoftext|>
11473,fashion is cool. i am an avid gamer playing second life., cool. i like to surf.<|endoftext|>
11474,awesome! what is second life? never heard of it, that is cool. i've a little yellow car i drive to get places.<|endoftext|>
11475,it is an online game where i portray a furry.,Third person. sorry. it is a game. mostly first person shooter games.<|endoftext|>
11476,"really? cool, what kind of car do you drive?","oh okay, cool. i am excited to graduate in may.<|endoftext|>"
11477,i do not drive since i work at home and online so much.,1984. nice. got any pets?<|endoftext|>
11478,"cool, i have a cute slug bug lol","oh, i see. i drive a cute little yellow car.<|endoftext|>"
11479,lol i never heard of that. is it an actual bug?,<|endoftext|>
11480,"lol no, a volkswagen beetle.",nah it is just a little yellow car that you can drive.<|endoftext|>
11481,lol oh okay. i never heard it called that before.,"Ahh okay, gotcha. yeah, i don't drive much, so my virtual social life is pretty confined.<|endoftext|>"
11482,hello. how are you today?,<|endoftext|>
11483,good how are you doing,"good, i just got a new home.<|endoftext|>"
11484,i am ok. just caught a cold...,hello. i am well.<|endoftext|>
11485,that is no good. i hate getting sick.,do you like chocolate? i love it<|endoftext|>
11486,"yeah, everyone hates it. are you at work or home?",i love to write about animals and some of them have health issues.<|endoftext|>
11487,i am at work. how about you?,home. i am doing a lot of online shopping and putting them on social media.<|endoftext|>
11488,me too. lol. what do you do for living?,"checking email, looking at my blog.<|endoftext|>"
11489,i work with animals. i specialize in training dogs.,i'm a photographer<|endoftext|>
11490,so cool!! i am a body builder., dogs? i work with them.<|endoftext|>
11491,oh wow. do you compete?, are you on instagram? or twitter?<|endoftext|>
11492,yes... wonder am i talking to the system or a real person? lol,i don't really compete. i just write about stuff.<|endoftext|>
11493,i am a real person,what do you do for fun?<|endoftext|>
11494,haha. me too. who is your favorite singer?,hi. do you like to travel?<|endoftext|>
11495,i am not sure. it changes with age.,sonder woman.... lady gaga<|endoftext|>
11496,"hi there, i am jordan and a vet", me too!<|endoftext|>
11497,hi jordan. that is my brothers name. he just got married,"hello, i just got done learning about people.<|endoftext|>"
11498,that is nice where are you from,hi jordan. i am dan. i am a doctorate of veterinary medicine.<|endoftext|>
11499,i was born in arizona so that is what i named my cat. you?,middle of the desert. i'm a crazy person. lol<|endoftext|>
11500,i am from california but i moved to florida a year ago,i live in the eastern time zone now<|endoftext|>
11501,do you like it?," nice, i have been to florida a few times. my husband and i just bought a new yahtzee speaker.<|endoftext|>"
11502,yeah everything but the snakes,i do. i love the warm weather.<|endoftext|>
11503,i like to play the game snakes and ladders but nothing else about snakes is good,. my boyfriend moved there and we have been thinking about moving again.<|endoftext|>
11504,"i like snakes, i have one just not venomous ones",do you have any pets<|endoftext|>
11505,i read a biography once about a snake charmer. interesting,do you have any pets<|endoftext|>
11506,well what do you do for fun,how is the weather there<|endoftext|>
11507,i play monopoly or risk or any board game really,play monopoly and yahtzee<|endoftext|>
11508,i play video games a lot,i also like to travel<|endoftext|>
